GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No workers,Margin of Error; Total: - No workers,Estimate; Total: - 1 worker,Margin of Error; Total: - 1 worker,Estimate; Total: - 2 workers,Margin of Error; Total: - 2 workers,Estimate; Total: - 3 or more workers,Margin of Error; Total: - 3 or more workers,Estimate; Total: - 1-person household:,Margin of Error; Total: - 1-person household:,Estimate; Total: - 1-person household: - No workers,Margin of Error; Total: - 1-person household: - No workers,Estimate; Total: - 1-person household: - 1 worker,Margin of Error; Total: - 1-person household: - 1 worker,Estimate; Total: - 2-person household:,Margin of Error; Total: - 2-person household:,Estimate; Total: - 2-person household: - No workers,Margin of Error; Total: - 2-person household: - No workers,Estimate; Total: - 2-person household: - 1 worker,Margin of Error; Total: - 2-person household: - 1 worker,Estimate; Total: - 2-person household: - 2 workers,Margin of Error; Total: - 2-person household: - 2 workers,Estimate; Total: - 3-person household:,Margin of Error; Total: - 3-person household:,Estimate; Total: - 3-person household: - No workers,Margin of Error; Total: - 3-person household: - No workers,Estimate; Total: - 3-person household: - 1 worker,Margin of Error; Total: - 3-person household: - 1 worker,Estimate; Total: - 3-person household: - 2 workers,Margin of Error; Total: - 3-person household: - 2 workers,Estimate; Total: - 3-person household: - 3 workers,Margin of Error; Total: - 3-person household: - 3 workers,Estimate; Total: - 4-or-more-person household:,Margin of Error; Total: - 4-or-more-person household:,Estimate; Total: - 4-or-more-person household: - No workers,Margin of Error; Total: - 4-or-more-person household: - No workers,Estimate; Total: - 4-or-more-person household: - 1 worker,Margin of Error; Total: - 4-or-more-person household: - 1 worker,Estimate; Total: - 4-or-more-person household: - 2 workers,Margin of Error; Total: - 4-or-more-person household: - 2 workers,Estimate; Total: - 4-or-more-person household: - 3 or more workers,Margin of Error; Total: - 4-or-more-person household: - 3 or more workers
0500000US41003,41003,"Benton County, Oregon",33609,1062,11064,1165,12387,1357,7734,1174,2424,780,10012,1368,5371,1067,4641,1121,12538,1552,4574,921,4391,1060,3573,897,4920,838,788,496,1083,464,2286,639,763,370,6139,1055,331,229,2272,779,1875,542,1661,690
0500000US41005,41005,"Clackamas County, Oregon",150382,1976,40644,2698,53509,2914,46620,3059,9609,1675,35642,2991,18304,2408,17338,1813,52740,2501,18289,1843,15589,1668,18862,1805,26576,2171,2658,860,9882,1626,11051,1548,2985,750,35424,2233,1393,676,10700,1663,16707,1949,6624,1517
0500000US41017,41017,"Deschutes County, Oregon",65065,2582,23119,2313,21674,2508,16887,1912,3385,1219,18312,2100,11034,1977,7278,1511,27873,2647,10534,1359,9650,1986,7689,1482,7967,1509,868,524,2186,858,3914,1057,999,620,10913,1702,683,384,2560,937,5284,1220,2386,1068
0500000US41019,41019,"Douglas County, Oregon",43389,1506,18525,1787,14997,1785,8957,1605,910,439,11082,1545,7858,1322,3224,991,17986,1529,7870,1178,6092,1112,4024,1075,6753,1136,2424,907,2279,813,1574,656,476,347,7568,1036,373,260,3402,913,3359,864,434,275
0500000US41029,41029,"Jackson County, Oregon",82983,1561,29806,2246,30147,2861,20138,2035,2892,910,24191,2410,14533,1939,9658,1590,33288,2311,13137,1524,9635,1454,10516,1597,10140,1784,596,389,5239,1417,3792,1033,513,328,15364,1534,1540,732,5615,1238,5830,1246,2379,822
0500000US41033,41033,"Josephine County, Oregon",34517,1287,16861,1275,10647,1408,5758,1213,1251,680,10528,1399,8072,1205,2456,757,13972,1419,6976,1215,4380,878,2616,868,4528,1109,838,489,1552,783,1385,550,753,665,5489,1388,975,605,2259,833,1757,725,498,327
0500000US41035,41035,"Klamath County, Oregon",25746,1411,9532,895,8867,1233,6295,1062,1052,527,6192,1100,4095,863,2097,564,10142,1187,4140,734,3405,844,2597,619,4575,1094,910,529,2039,724,1292,565,334,227,4837,961,387,268,1326,453,2406,684,718,479
0500000US41039,41039,"Lane County, Oregon",144166,2079,48956,1951,51579,2955,37170,2269,6461,1126,43789,2510,25768,1928,18021,1913,54224,2599,17407,1650,19055,1717,17762,1821,22095,1877,2993,879,7458,1128,8483,1395,3161,795,24058,2039,2788,825,7045,1354,10925,1657,3300,805
0500000US41043,41043,"Linn County, Oregon",43911,1448,14873,1330,15528,1701,11375,1833,2135,709,11311,1281,6488,1074,4823,1055,16541,1466,6636,1041,4470,885,5435,1244,5910,1336,901,515,2179,737,2313,820,517,378,10149,1404,848,397,4056,1057,3627,1051,1618,640
